time; Quad.Accel.X;Mean; (Quad.Accel.X-Mean)²;sum( (Quad.Accel.X-Mean)²);sum( (Quad.Accel.X-Mean)²)/N;sqrt(sum( (Quad.Accel.X-Mean)²)/N)
0,3;-0,030145;;0,000908721;;;
0,305;-0,309562;;0,095828632;;;
0,31;0,604162;;0,365011722;;;
0,314999;-0,014136;;0,000199826;;;
0,319999;0,538256;;0,289719522;;;
0,324999;0,528556;;0,279371445;;;
0,329999;0,603996;;0,364811168;;;
0,334999;-0,100874;;0,010175564;;;
0,339999;-0,25851;;0,06682742;;;
0,344999;-0,031575;;0,000996981;;;
0,349999;-0,611603;;0,37405823;;;
0,354999;-0,19119;;0,036553616;;;
0,359999;0,132435;;0,017539029;;;
0,364999;0,50768;;0,257738982;;;
0,369999;1,160649;;1,347106101;;;
0,374999;0,261284;;0,068269329;;;
0,379999;-0,181002;;0,032761724;;;
0,384999;-0,632224;;0,399707186;;;
0,389999;0,281742;;0,079378555;;;
0,394998;0,170511;;0,029074001;;;
0,399998;-0,024245;;0,00058782;;;
0,404998;-0,829532;;0,688123339;;;
0,409998;0,235151;;0,055295993;;;
0,414998;-0,226677;;0,051382462;;;
0,419998;0,438674;;0,192434878;;;
0,424998;0,099576;;0,00991538;;;
0,429998;-0,540915;;0,292589037;;;
0,434998;-0,319679;;0,102194663;;;
0,439998;-0,208942;;0,043656759;;;
0,444998;0,060934;;0,003712952;;;
0,449998;-0,978842;;0,958131661;;;
0,454998;-1,204005;;1,44962804;;;
0,459998;0,051997;;0,002703688;;;
0,464998;0,374042;;0,139907418;;;
0,469997;-0,548168;;0,300488156;;;
0,474997;-0,489962;;0,240062761;;;
0,479997;0,904138;;0,817465523;;;
0,484997;0,209327;;0,043817793;;;
0,489997;-0,60364;;0,36438125;;;
0,494997;-0,104184;;0,010854306;;;
0,499997;-0,255038;;0,065044381;;;
0,504997;0,347222;;0,120563117;;;
0,509997;-0,357928;;0,128112453;;;
0,514997;0,256292;;0,065685589;;;
0,519997;-0,061849;;0,003825299;;;
0,524997;0,056353;;0,003175661;;;
0,529997;-0,586875;;0,344422266;;;
0,534997;0,144202;;0,020794217;;;
0,539997;0,43806;;0,191896564;;;
0,544997;0,245793;;0,060414199;;;
0,549996;-0,566434;;0,320847476;;;
0,554996;0,103915;;0,010798327;;;
0,559996;-0,449658;;0,202192317;;;
0,564996;0,430374;;0,18522178;;;
0,569996;-0,843053;;0,710738361;;;
0,574996;-0,018138;;0,000328987;;;
0,579996;-0,050502;;0,002550452;;;
0,584996;-0,037834;;0,001431412;;;
0,589996;0,383568;;0,147124411;;;
0,594996;0,451929;;0,204239821;;;
0,599996;-0,957519;;0,916842635;;;
0,604996;0,070732;;0,005003016;;;
0,609996;-0,291748;;0,085116896;;;
0,614996;0,111888;;0,012518925;;;
0,619996;0,363908;;0,132429032;;;
0,624996;-0,256298;;0,065688665;;;
0,629995;0,508486;;0,258558012;;;
0,634995;0,095374;;0,0090962;;;
0,639995;-1,061733;;1,127276963;;;
0,644995;-0,101325;;0,010266756;;;
0,649995;0,307708;;0,094684213;;;
0,654995;0,621845;;0,386691204;;;
0,659995;-0,082203;;0,006757333;;;
0,664995;0,574658;;0,330231817;;;
0,669995;0,049351;;0,002435521;;;
0,674995;0,182678;;0,033371252;;;
0,679995;-0,613418;;0,376281643;;;
0,684995;0,044775;;0,002004801;;;
0,689995;0,012281;;0,000150823;;;
0,694995;0,573703;;0,329135132;;;
0,699995;0,571174;;0,326239738;;;
0,704994;-0,232655;;0,054128349;;;
0,709994;0,620837;;0,385438581;;;
0,714994;-0,262103;;0,068697983;;;
0,719994;-0,030951;;0,000957964;;;
0,724994;0,738532;;0,545429515;;;
0,729994;0,022346;;0,000499344;;;
0,734994;0,602472;;0,362972511;;;
0,739994;-0,699628;;0,489479338;;;
0,744994;0,603235;;0,363892465;;;
0,749994;-0,06525;;0,004257563;;;
0,754994;-0,231078;;0,053397042;;;
0,759994;0,215793;;0,046566619;;;
0,764994;0,374557;;0,140292946;;;
0,769994;-0,511199;;0,261324418;;;
0,774994;0,684654;;0,4687511;;;
0,779994;-0,145499;;0,021169959;;;
0,784993;-0,183433;;0,033647665;;;
0,789993;0,479782;;0,230190768;;;
0,794993;-1,001644;;1,003290703;;;
0,799993;-0,190387;;0,03624721;;;
0,804993;0,073268;;0,0053682;;;
0,809993;-0,463288;;0,214635771;;;
0,814993;-0,307516;;0,09456609;;;
0,819993;-0,253919;;0,064474859;;;
0,824993;0,374296;;0,140097496;;;
0,829993;-0,014294;;0,000204318;;;
0,834993;0,233467;;0,05450684;;;
0,839993;-0,016649;;0,000277189;;;
0,844993;0,564783;;0,318979837;;;
0,849993;-0,148037;;0,021914953;;;
0,854993;-0,167132;;0,027933105;;;
0,859993;-0,403871;;0,163111785;;;
0,864992;-0,221497;;0,049060921;;;
0,869992;-0,521994;;0,272477736;;;
0,874992;0,064945;;0,004217853;;;
0,879992;-0,13637;;0,018596777;;;
0,884992;-0,430983;;0,185746346;;;
0,889992;-0,706538;;0,499195945;;;
0,894992;-0,730436;;0,53353675;;;
0,899992;0,446213;;0,199106041;;;
0,904992;-0,039416;;0,001553621;;;
0,909992;0,173356;;0,030052303;;;
0,914992;-0,344217;;0,118485343;;;
0,919992;-0,383375;;0,146976391;;;
0,924992;-0,266753;;0,071157163;;;
0,929992;0,468151;;0,219165359;;;
0,934992;-0,446039;;0,19895079;;;
0,939991;0,304306;;0,092602142;;;
0,944991;-0,231923;;0,053788278;;;
0,949991;1,261374;;1,591064368;;;
0,954991;-0,648888;;0,421055637;;;
0,959991;0,495323;;0,245344874;;;
0,964991;1,205904;;1,454204457;;;
0,969991;-0,710631;;0,504996418;;;
0,974991;0,989402;;0,978916318;;;
0,979991;-0,655416;;0,429570133;;;
0,984991;0,210245;;0,04420296;;;
0,989991;0,669645;;0,448424426;;;
0,994991;-0,568327;;0,322995579;;;
0,999991;0,28767;;0,082754029;;;
1,004991;0,194225;;0,037723351;;;
1,009991;0,048829;;0,002384271;;;
1,014991;0,979797;;0,960002161;;;
1,019992;0,650338;;0,422939514;;;
1,024992;-0,048148;;0,00231823;;;
1,029992;-0,639335;;0,408749242;;;
1,034992;0,050822;;0,002582876;;;
1,039993;0,031975;;0,001022401;;;
1,044993;-0,012176;;0,000148255;;;
1,049993;0,751537;;0,564807862;;;
1,054993;-0,03614;;0,0013061;;;
1,059994;-0,119429;;0,014263286;;;
1,064994;-0,022953;;0,00052684;;;
1,069994;-0,253001;;0,064009506;;;
1,074994;-0,135232;;0,018287694;;;
1,079994;0,595088;;0,354129728;;;
1,084995;0,153679;;0,023617235;;;
1,089995;-0,093798;;0,008798065;;;
1,094995;-0,069258;;0,004796671;;;
1,099995;0,490998;;0,241079036;;;
1,104996;-0,111007;;0,012322554;;;
1,109996;0,535357;;0,286607117;;;
1,114996;-0,242505;;0,058808675;;;
1,119996;-0,107502;;0,01155668;;;
1,124997;-0,339922;;0,115546966;;;
1,129997;-0,794832;;0,631757908;;;
1,134997;0,357714;;0,127959306;;;
1,139997;0,152314;;0,023199555;;;
1,144997;-0,33708;;0,113622926;;;
1,149998;1,011591;;1,023316351;;;
1,154998;0,367722;;0,135219469;;;
1,159998;-0,027478;;0,00075504;;;
1,164998;-0,402527;;0,162027986;;;
1,169999;-0,160246;;0,025678781;;;
1,174999;0,421717;;0,177845228;;;
1,179999;0,223029;;0,049741935;;;
1,184999;-0,501047;;0,251048096;;;
1,19;-0,47155;;0,222359403;;;
1,195;-0,074051;;0,005483551;;;
1,2;-0,204572;;0,041849703;;;
1,205;0,035496;;0,001259966;;;
1,210001;0,058382;;0,003408458;;;
1,215001;-0,236571;;0,055965838;;;
1,220001;-0,863294;;0,74527653;;;
1,225001;0,674779;;0,455326699;;;
1,230001;-0,019549;;0,000382163;;;
1,235002;-0,50057;;0,250570325;;;
1,240002;-0,572035;;0,327224041;;;
1,245002;-0,276354;;0,076371533;;;
1,250002;-1,057186;;1,117642239;;;
1,255003;0,228342;;0,052140069;;;
1,260003;0,892772;;0,797041844;;;
1,265003;-0,376893;;0,142048333;;;
1,270003;-0,071557;;0,005120404;;;
1,275004;0,496848;;0,246857935;;;
1,280004;0,433183;;0,187647511;;;
1,285004;0,281154;;0,079047572;;;
1,290004;-0,909731;;0,827610492;;;
1,295004;0,098873;;0,00977587;;;
1,300005;0,228257;;0,052101258;;;
1,305005;0,053887;;0,002903809;;;
1,310005;-0,535288;;0,286533243;;;
1,315005;0,046642;;0,002175476;;;
1,320006;-0,170204;;0,028969402;;;
1,325006;0,364591;;0,132926597;;;
1,330006;0,01302;;0,00016952;;;
1,335006;-0,261687;;0,068480086;;;
1,340007;0,236212;;0,055796109;;;
1,345007;-0,426641;;0,182022543;;;
1,350007;0,121408;;0,014739902;;;
1,355007;-0,733833;;0,538510872;;;
1,360008;-0,234216;;0,054857135;;;
1,365008;-0,16208;;0,026269926;;;
1,370008;-0,28796;;0,082920962;;;
1,375008;1,215577;;1,477627443;;;
1,380008;-0,567117;;0,321621692;;;
1,385009;0,227431;;0,05172486;;;
1,390009;-0,120906;;0,014618261;;;
1,395009;0,198204;;0,039284826;;;
1,400009;0,007175;;5,15E-05;;;
1,40501;1,190859;;1,418145158;;;
1,41001;-0,126999;;0,016128746;;;
1,41501;-0,338528;;0,114601207;;;
1,42001;0,487201;;0,237364814;;;
1,425011;-0,333206;;0,111026238;;;
1,430011;0,932599;;0,869740895;;;
1,435011;-0,012275;;0,000150676;;;
1,440011;-0,096955;;0,009400272;;;
1,445011;0,539695;;0,291270693;;;
1,450012;0,045881;;0,002105066;;;
1,455012;-0,604883;;0,365883444;;;
1,460012;-0,163815;;0,026835354;;;
1,465012;0,271649;;0,073793179;;;
1,470013;0,260918;;0,068078203;;;
1,475013;0,737282;;0,543584748;;;
1,480013;-0,797369;;0,635797322;;;
1,485013;-0,394039;;0,155266734;;;
1,490014;0,493886;;0,243923381;;;
1,495014;0,626414;;0,392394499;;;
1,500014;0,207208;;0,042935155;;;
1,505014;0,121256;;0,014703018;;;
1,510015;0,518021;;0,268345756;;;
1,515015;0,002239;;5,01E-06;;;
1,520015;0,229929;;0,052867345;;;
1,525015;0,566184;;0,320564322;;;
1,530015;0,25241;;0,063710808;;;
1,535016;-0,803901;;0,646256818;;;
1,540016;0,054793;;0,003002273;;;
1,545016;-0,146694;;0,02151913;;;
1,550016;0,407251;;0,165853377;;;
1,555017;0,23449;;0,05498556;;;
1,560017;0,57148;;0,32658939;;;
1,565017;0,69285;;0,480041123;;;
1,570017;0,426021;;0,181493892;;;
1,575018;-0,858563;;0,737130425;;;
1,580018;-0,153507;;0,023564399;;;
1,585018;-0,605041;;0,366074612;;;
1,590018;-0,010639;;0,000113188;;;
1,595019;-0,121942;;0,014869851;;;
1,600019;-0,731332;;0,534846494;;;
1,605019;0,053266;;0,002837267;;;
1,610019;0,05286;;0,00279418;;;
1,615019;0,145252;;0,021098144;;;
1,62002;-1,054699;;1,112389981;;;
1,62502;-0,111565;;0,012446749;;;
1,63002;-0,427743;;0,182964074;;;
1,63502;0,652271;;0,425457457;;;
1,640021;0,460812;;0,212347699;;;
1,645021;-0,238633;;0,056945709;;;
1,650021;-0,560256;;0,313886786;;;
1,655021;-0,20364;;0,04146925;;;
1,660022;0,192392;;0,037014682;;;
1,665022;0,431237;;0,18596535;;;
1,670022;0,713328;;0,508836836;;;
1,675022;0,649644;;0,422037327;;;
1,680022;0,699666;;0,489532512;;;
1,685023;0,480334;;0,230720752;;;
1,690023;0,638028;;0,407079729;;;
1,695023;-0,022769;;0,000518427;;;
1,700023;0,03557;;0,001265225;;;
1,705024;-0,696492;;0,485101106;;;
1,710024;0,184998;;0,03422426;;;
1,715024;-0,145294;;0,021110346;;;
1,720024;-0,868948;;0,755070627;;;
1,725025;-0,175649;;0,030852571;;;
1,730025;-0,780727;;0,609534649;;;
1,735025;0,01288;;0,000165894;;;
1,740025;-0,082527;;0,006810706;;;
1,745026;0,293007;;0,085853102;;;
1,750026;0,059717;;0,00356612;;;
1,755026;-0,41808;;0,174790886;;;
1,760026;0,140751;;0,019810844;;;
1,765026;-0,092619;;0,008578279;;;
1,770027;0,209711;;0,043978704;;;
1,775027;-0,722816;;0,52246297;;;
1,780027;-0,012065;;0,000145564;;;
1,785027;0,143815;;0,020682754;;;
1,790028;0,24171;;0,058423724;;;
1,795028;-0,232683;;0,054141378;;;
1,800028;0,435019;;0,18924153;;;
1,805028;-0,579803;;0,336171519;;;
1,810029;0,017327;;0,000300225;;;
1,815029;0,321768;;0,103534646;;;
1,820029;0,522969;;0,273496575;;;
1,825029;-0,394105;;0,155318751;;;
1,830029;0,082802;;0,006856171;;;
1,83503;-0,389161;;0,151446284;;;
1,84003;-0,567071;;0,321569519;;;
1,84503;0,482174;;0,232491766;;;
1,85003;0,291028;;0,084697297;;;
1,855031;-0,200624;;0,040249989;;;
1,860031;-0,782344;;0,612062134;;;
1,865031;-0,279834;;0,078307068;;;
1,870031;0,535478;;0,286736688;;;
1,875032;0,363082;;0,131828539;;;
1,880032;0,079362;;0,006298327;;;
1,885032;-0,218357;;0,047679779;;;
1,890032;-0,828846;;0,686985692;;;
1,895033;0,08588;;0,007375374;;;
1,900033;-0,160138;;0,025644179;;;
1,905033;-1,189;;1,413721;;;
1,910033;0,402535;;0,162034426;;;
1,915033;0,088173;;0,007774478;;;
1,920034;-0,601142;;0,361371704;;;
1,925034;0,100993;;0,010199586;;;
1,930034;0,623457;;0,388698631;;;
1,935034;-0,061903;;0,003831981;;;
1,940035;0,213187;;0,045448697;;;
1,945035;-0,039626;;0,00157022;;;
1,950035;0,43133;;0,186045569;;;
1,955035;-0,077671;;0,006032784;;;
1,960036;-0,398923;;0,15913956;;;
1,965036;-0,580304;;0,336752732;;;
1,970036;0,546971;;0,299177275;;;
1,975036;-0,390583;;0,15255508;;;
1,980036;-0,20864;;0,04353065;;;
1,985037;0,406801;;0,165487054;;;
1,990037;-0,307978;;0,094850448;;;
1,995037;0,416691;;0,173631389;;;
2,000037;0,200002;;0,0400008;;;
2,005037;-0,407622;;0,166155695;;;
2,010037;0,358514;;0,128532288;;;
2,015036;0,204206;;0,04170009;;;
2,020036;0,21306;;0,045394564;;;
2,025036;0,207337;;0,042988632;;;
2,030035;-0,380762;;0,144979701;;;
2,035035;0,590335;;0,348495412;;;
2,040035;0,356734;;0,127259147;;;
2,045034;-0,496616;;0,246627451;;;
2,050034;0,049813;;0,002481335;;;
2,055033;0,811832;;0,659071196;;;
2,060033;-0,229549;;0,052692743;;;
2,065033;-0,352547;;0,124289387;;;
2,070032;-0,03128;;0,000978438;;;
2,075032;-0,28781;;0,082834596;;;
2,080032;-0,418967;;0,175533347;;;
2,085031;0,56718;;0,321693152;;;
2,090031;0,071549;;0,005119259;;;
2,095031;-0,577985;;0,33406666;;;
2,10003;0,289126;;0,083593844;;;
2,10503;-0,174184;;0,030340066;;;
2,110029;0,881698;;0,777391363;;;
2,115029;-0,724528;;0,524940823;;;
2,120029;-0,3128;;0,09784384;;;
2,125028;-0,026722;;0,000714065;;;
2,130028;0,719769;;0,518067413;;;
2,135028;-0,361561;;0,130726357;;;
2,140027;-1,913661;;3,662098423;;;
2,145027;0,283494;;0,080368848;;;
2,150027;-0,269357;;0,072553193;;;
2,155026;0,117591;;0,013827643;;;
2,160026;0,462014;;0,213456936;;;
2,165025;-0,343318;;0,117867249;;;
2,170025;-0,738136;;0,544844754;;;
2,175025;-0,477558;;0,228061643;;;
2,180024;0,13503;;0,018233101;;;
2,185024;0,41562;;0,172739984;;;
2,190024;-0,115391;;0,013315083;;;
2,195023;0,254417;;0,06472801;;;
2,200023;-0,589408;;0,34740179;;;
2,205023;0,026283;;0,000690796;;;
2,210022;0,667511;;0,445570935;;;
2,215022;1,211511;;1,467758903;;;
2,220021;-0,320507;;0,102724737;;;
2,225021;-0,629924;;0,396804246;;;
2,230021;0,348888;;0,121722837;;;
2,23502;-0,035539;;0,001263021;;;
2,24002;-0,034624;;0,001198821;;;
2,24502;-0,565919;;0,320264315;;;
2,250019;-0,703603;;0,495057182;;;
2,255019;-0,946679;;0,896201129;;;
2,260019;-1,34419;;1,806846756;;;
2,265018;-0,179493;;0,032217737;;;
2,270018;0,200973;;0,040390147;;;
2,275017;0,332816;;0,11076649;;;
2,280017;0,772484;;0,59673153;;;
2,285017;-0,21056;;0,044335514;;;
2,290016;0,083368;;0,006950223;;;
2,295016;-0,685769;;0,470279121;;;
2,300016;0,944827;;0,89269806;;;
2,305015;0,098583;;0,009718608;;;
2,310015;0,827955;;0,685509482;;;
2,315015;0,405351;;0,164309433;;;
2,320014;1,040116;;1,081841293;;;
2,325014;0,225262;;0,050742969;;;
2,330014;-0,031477;;0,000990802;;;
2,335013;-0,109189;;0,011922238;;;
2,340013;-0,451978;;0,204284112;;;
2,345012;0,17142;;0,029384816;;;
2,350012;0,750896;;0,563844803;;;
2,355012;-0,368036;;0,135450497;;;
2,360011;0,315638;;0,099627347;;;
2,365011;-0,740014;;0,54762072;;;
2,370011;0,720581;;0,519236978;;;
2,37501;0,215779;;0,046560577;;;
2,38001;-0,060961;;0,003716244;;;
2,38501;-1,226998;;1,505524092;;;
2,390009;-0,358744;;0,128697258;;;
2,395009;0,039116;;0,001530061;;;
2,400008;0,12798;;0,01637888;;;
2,405008;-0,02301;;0,00052946;;;
2,410008;-0,252703;;0,063858806;;;
2,415007;-0,084363;;0,007117116;;;
2,420007;0,57554;;0,331246292;;;
2,425007;0,356899;;0,127376896;;;
2,430006;0,623569;;0,388838298;;;
2,435006;-0,35087;;0,123109757;;;
2,440006;-0,144182;;0,020788449;;;
2,445005;0,234299;;0,054896021;;;
2,450005;-0,056129;;0,003150465;;;
2,455004;0,695791;;0,484125116;;;
2,460004;0,451608;;0,203949786;;;
2,465004;-0,889107;;0,790511257;;;
2,470003;-0,617268;;0,381019784;;;
2,475003;-0,387204;;0,149926938;;;
2,480003;0,232099;;0,053869946;;;
2,485002;0,114828;;0,01318547;;;
2,490002;-0,904339;;0,817829027;;;
2,495002;-0,208005;;0,04326608;;;
2,500001;0,04528;;0,002050278;;;
2,505001;0,265153;;0,070306113;;;
2,51;-0,025927;;0,000672209;;;
2,515;-0,418006;;0,174729016;;;
2,52;-0,03616;;0,001307546;;;
2,524999;-0,49687;;0,246879797;;;
2,529999;0,210197;;0,044182779;;;
2,534999;-0,647831;;0,419685005;;;
2,539998;0,080221;;0,006435409;;;
2,544998;0,069084;;0,004772599;;;
2,549998;-0,29243;;0,085515305;;;
2,554997;-0,325027;;0,105642551;;;
2,559997;-0,158536;;0,025133663;;;
2,564996;-0,143923;;0,02071383;;;
2,569996;-0,976197;;0,952960583;;;
2,574996;0,117247;;0,013746859;;;
2,579995;-0,30742;;0,094507056;;;
2,584995;0,285431;;0,081470856;;;
2,589995;0,431842;;0,186487513;;;
2,594994;-0,838181;;0,702547389;;;
2,599994;0,498246;;0,248249077;;;
2,604994;0,74396;;0,553476482;;;
2,609993;0,502809;;0,25281689;;;
2,614993;1,250676;;1,564190457;;;
2,619992;-0,163116;;0,026606829;;;
2,624992;0,814748;;0,663814304;;;
2,629992;-0,373954;;0,139841594;;;
2,634991;-0,580247;;0,336686581;;;
2,639991;0,854858;;0,7307822;;;
2,644991;0,618079;;0,38202165;;;
2,64999;-0,006347;;4,03E-05;;;
2,65499;-0,207759;;0,043163802;;;
2,65999;0,361638;;0,130782043;;;
2,664989;0,27982;;0,078299232;;;
2,669989;-0,129884;;0,016869853;;;
2,674989;0,714141;;0,509997368;;;
2,679988;-0,735523;;0,540994084;;;
2,684988;-0,674534;;0,454996117;;;
2,689987;0,28266;;0,079896676;;;
2,694987;-0,591812;;0,350241443;;;
2,699987;-0,039937;;0,001594964;;;
2,704986;-0,591153;;0,349461869;;;
2,709986;0,259977;;0,067588041;;;
2,714986;-0,775079;;0,600747456;;;
2,719985;0,411902;;0,169663258;;;
2,724985;-0,35911;;0,128959992;;;
2,729985;0,588679;;0,346542965;;;
2,734984;0,408773;;0,167095366;;;
2,739984;-0,093457;;0,008734211;;;
2,744983;-0,575402;;0,331087462;;;
2,749983;-0,075539;;0,005706141;;;
2,754983;0,406558;;0,165289407;;;
2,759982;-0,589315;;0,347292169;;;
2,764982;0,026025;;0,000677301;;;
2,769982;0,201203;;0,040482647;;;
2,774981;0,254683;;0,06486343;;;
2,779981;0,61636;;0,37989965;;;
2,784981;0,47905;;0,229488903;;;
2,78998;-0,220639;;0,048681568;;;
2,79498;-0,128695;;0,016562403;;;
2,799979;0,014055;;0,000197543;;;
2,804979;-0,198313;;0,039328046;;;
2,809979;-0,390339;;0,152364535;;;
2,814978;0,046203;;0,002134717;;;
2,819978;0,14302;;0,02045472;;;
2,824978;-0,506416;;0,256457165;;;
2,829977;0,749229;;0,561344094;;;
2,834977;0,249868;;0,062434017;;;
2,839977;0,562469;;0,316371376;;;
2,844976;0,817239;;0,667879583;;;
2,849976;-0,435209;;0,189406874;;;
2,854975;-0,128336;;0,016470129;;;
2,859975;-0,034082;;0,001161583;;;
2,864975;-0,909123;;0,826504629;;;
2,869974;0,730672;;0,533881572;;;
2,874974;-0,465724;;0,216898844;;;
2,879974;0,183043;;0,03350474;;;
2,884973;0,353413;;0,124900749;;;
2,889973;-0,260389;;0,067802431;;;
2,894973;-0,165374;;0,02734856;;;
2,899972;0,577201;;0,333160994;;;
2,904972;-0,026499;;0,000702197;;;
2,909971;0,77978;;0,608056848;;;
2,914971;0,265867;;0,070685262;;;
2,919971;0,28315;;0,080173923;;;
2,92497;0,194845;;0,037964574;;;
2,92997;-0,594288;;0,353178227;;;
2,93497;-0,191487;;0,036667271;;;
2,939969;-0,043362;;0,001880263;;;
2,944969;-0,271198;;0,073548355;;;
2,949969;0,21507;;0,046255105;;;
2,954968;0,221447;;0,049038774;;;
2,959968;-0,830787;;0,690207039;;;
2,964967;0,19102;;0,03648864;;;
2,969967;0,03472;;0,001205478;;;
2,974967;0,488036;;0,238179137;;;
2,979966;-0,243342;;0,059215329;;;
2,984966;-0,432916;;0,187416263;;;
2,989966;-0,139234;;0,019386107;;;
2,994965;0,992261;;0,984581892;;;
2,999965;-1,202136;;1,445130962;;;
3,004965;0,350222;;0,122655449;;;
3,009964;0,838825;;0,703627381;;;
3,014964;-0,281624;;0,079312077;;;
3,019964;-0,345677;;0,119492588;;;
3,024963;0,254481;;0,064760579;;;
3,029963;-0,231035;;0,053377171;;;
3,034962;-0,430589;;0,185406887;;;
3,039962;0,1069;;0,01142761;;;
3,044962;0,055073;;0,003033035;;;
3,049961;0,598833;;0,358600962;;;
3,054961;-0,271322;;0,073615628;;;
3,059961;-0,441027;;0,194504815;;;
3,06496;-0,053153;;0,002825241;;;
3,06996;0,297618;;0,088576474;;;
3,07496;0,149267;;0,022280637;;;
3,079959;-0,557812;;0,311154227;;;
3,084959;0,419007;;0,175566866;;;
3,089958;-0,023996;;0,000575808;;;
3,094958;-1,013181;;1,026535739;;;
3,099958;-0,478772;;0,229222628;;;
3,104957;-0,353791;;0,125168072;;;
3,109957;0,033476;;0,001120643;;;
3,114957;0,054569;;0,002977776;;;
3,119956;-0,826548;;0,683181596;;;
3,124956;0,059208;;0,003505587;;;
3,129956;0,890961;;0,793811504;;;
3,134955;0,967057;;0,935199241;;;
3,139955;-0,070867;;0,005022132;;;
3,144954;-0,744499;;0,554278761;;;
3,149954;-1,079987;;1,16637192;;;
3,154954;0,446223;;0,199114966;;;
3,159953;-0,037292;;0,001390693;;;
3,164953;-0,263694;;0,069534526;;;
3,169953;-0,538168;;0,289624796;;;
3,174952;0,015796;;0,000249514;;;
3,179952;0,170582;;0,029098219;;;
3,184952;-0,701273;;0,491783821;;;
3,189951;-0,333971;;0,111536629;;;
3,194951;0,803037;;0,644868423;;;
3,19995;-0,300574;;0,090344729;;;
3,20495;-0,450309;;0,202778195;;;
3,20995;0,657764;;0,43265348;;;
3,214949;0,300115;;0,090069013;;;
3,219949;-0,613349;;0,376196996;;;
3,224949;0,20451;;0,04182434;;;
3,229948;0,155176;;0,024079591;;;
3,234948;0,433897;;0,188266607;;;
3,239948;-0,505245;;0,25527251;;;
3,244947;-0,048221;;0,002325265;;;
3,249947;0,180981;;0,032754122;;;
3,254946;-0,193093;;0,037284907;;;
3,259946;-0,02473;;0,000611573;;;
3,264946;-0,704695;;0,496595043;;;
3,269945;-0,564489;;0,318647831;;;
3,274945;0,597151;;0,356589317;;;
3,279945;-0,921069;;0,848368103;;;
3,284944;-0,279254;;0,077982797;;;
3,289944;-0,17148;;0,02940539;;;
3,294944;-0,283056;;0,080120699;;;
3,299943;-0,323499;;0,104651603;;;
3,304943;-0,268959;;0,072338944;;;
3,309942;0,01706;;0,000291044;;;
3,314942;0,689317;;0,475157926;;;
3,319942;-1,040054;;1,081712323;;;
3,324941;-0,021344;;0,000455566;;;
3,329941;0,765524;;0,586026995;;;
3,334941;-0,230697;;0,053221106;;;
3,33994;-0,61627;;0,379788713;;;
3,34494;0,014812;;0,000219395;;;
3,34994;-0,224808;;0,050538637;;;
3,354939;-0,468303;;0,2193077;;;
3,359939;-0,778966;;0,606788029;;;
3,364938;-0,104579;;0,010936767;;;
3,369938;-0,561833;;0,31565632;;;
